pid,name,username,cpu_percent,memory_percent
424,AMPDeviceDiscoveryAgent,jachian,0.0,0.059032440185546875
425,fontd,jachian,0.0,0.03676414489746094
427,fontworker,jachian,0.0,0.039386749267578125
430,Spotlight,jachian,0.0,0.24576187133789062
431,WirelessRadioMan,root,,
432,rapportd,jachian,0.0,0.13189315795898438
433,sharingd,jachian,0.0,0.22974014282226562
434,ctkahp,root,,
435,contactsd,jachian,0.0,0.16613006591796875
436,mobiletimerd,jachian,0.0,0.058746337890625
437,AudioComponentRegistrar,jachian,0.0,0.04343986511230469
438,CarbonComponentScannerXPC,jachian,0.0,0.03209114074707031
439,CallHistoryPluginHelper,jachian,0.0,0.11248588562011719
440,Dropbox,jachian,0.0,0.7336616516113281
441,routined,jachian,0.0,0.21295547485351562
447,ExploreSearchRes,root,,
449,mysqld,_mysql,,
454,imklaunchagent,jachian,0.0,0.057220458984375
456,corespotlightd,jachian,0.0,1.984405517578125
457,CoreServicesUIAgent,jachian,0.0,0.11668205261230469
458,WiFiAgent,jachian,0.0,0.1232147216796875
459,ctkahp,jachian,0.0,0.027418136596679688
461,taskgated,root,,
463,pbs,jachian,0.0,0.04153251647949219
464,Google Drive,jachian,0.0,0.10061264038085938
465,extensionkitservice,jachian,0.0,0.05612373352050781
466,PAH_Extension,jachian,0.0,0.10290145874023438
467,HomeWidget,jachian,0.0,0.074005126953125
468,ctkd,jachian,0.0,0.040721893310546875
469,heard,jachian,0.0,0.17938613891601562
470,corespeechd,jachian,0.0,0.08230209350585938
472,axassetsd,jachian,0.0,0.092315673828125
474,SafariAdapter,jachian,0.0,0.10142326354980469
475,ContextStoreAgent,jachian,0.0,0.13518333435058594
479,Siri,jachian,0.0,0.14739036560058594
480,icdd,jachian,0.0,0.042438507080078125
483,askpermissiond,jachian,0.0,0.09479522705078125
485,AirPlayUIAgent,jachian,0.0,0.07925033569335938
486,imagent,jachian,0.0,0.2219676971435547
488,cloudpaird,jachian,0.0,0.131988525390625
489,diagnostics_agent,jachian,0.0,0.0926971435546875
490,bluetoothuserd,jachian,0.0,0.05550384521484375
491,TextInputMenuAgent,jachian,0.0,0.1640796661376953
494,amsaccountsd,jachian,0.0,0.1125335693359375
496,mh,jachian,0.0,0.045299530029296875
497,ReportCrash,jachian,0.0,0.03204345703125
498,AppleCameraAssis,_cmiodalassistants,,
499,dmd,jachian,0.0,0.07505416870117188
500,amsengagementd,jachian,0.0,0.15587806701660156
501,UsageTrackingAgent,jachian,0.0,0.09260177612304688
502,TextInputSwitcher,jachian,0.0,0.115203857421875
503,com.apple.Ambien,root,,
504,syncdefaultsd,jachian,0.0,0.11448860168457031
505,com.apple.ColorS,root,,
506,CommCenter,jachian,0.0,0.16040802001953125
508,Dropbox,jachian,0.0,0.07171630859375
509,WiFiVelocityAgent,jachian,0.0,0.022363662719726562
510,WeatherWidget,jachian,0.0,0.20928382873535156
511,ScreenTimeWidgetExtension,jachian,0.0,0.30655860900878906
512,wifivelocityd,root,,
513,spindump,root,,
514,spindump_agent,jachian,0.0,0.0244140625
515,IMDPersistenceAgent,jachian,0.0,0.28138160705566406
516,homed,jachian,0.0,0.1731395721435547
517,Dropbox,jachian,0.0,0.08797645568847656
518,nsurlsessiond,jachian,0.0,0.11816024780273438
519,com.apple.siri.embeddedspeech,jachian,0.0,0.0885009765625
520,ScreenTimeAgent,jachian,0.0,0.24046897888183594
521,parsecd,jachian,0.0,0.16074180603027344
522,netbiosd,_netbios,,
523,swcd,jachian,0.0,0.0782012939453125
524,triald,jachian,0.0,0.08606910705566406
525,com.apple.geod,jachian,0.0,0.12431144714355469
526,ctkd,_ctkd,,
527,coreauthd,jachian,0.0,0.06785392761230469
528,networkserviceproxy,jachian,0.0,0.13098716735839844
529,itunescloudd,jachian,0.0,0.18815994262695312
530,transparencyd,jachian,0.0,0.1026153564453125
532,ProtectedCloudKeySyncing,jachian,0.0,0.07271766662597656
533,familycircled,jachian,0.0,0.19135475158691406
534,StatusKitAgent,jachian,0.0,0.08168220520019531
535,ContextService,jachian,0.0,0.12574195861816406
536,CategoriesService,jachian,0.0,0.029134750366210938
537,akd,jachian,0.0,0.09951591491699219
538,XProtectBehavior,root,,
539,com.apple.FaceTime.FTConversationService,jachian,0.0,0.05855560302734375
540,mediaremoteagent,jachian,0.0,0.023508071899414062
541,adid,_fpsd,,
542,avconferenced,jachian,0.0,0.09970664978027344
543,assistantd,jachian,0.0,0.2803802490234375
544,peopled,jachian,0.0,0.14057159423828125
545,dataaccessd,jachian,0.0,0.2162456512451172
546,fmfd,jachian,0.0,0.1350879669189453
549,com.apple.siri.embeddedspeech,jachian,0.0,0.0736236572265625
550,cdpd,jachian,0.0,0.07123947143554688
551,SoftwareUpdateNotificationManager,jachian,0.0,0.11844635009765625
552,SubmitDiagInfo,root,,
553,lockoutagent,jachian,0.0,0.06780624389648438
554,neagent,jachian,0.0,0.077056884765625
555,CMFSyncAgent,jachian,0.0,0.06160736083984375
556,APFSUserAgent,jachian,0.0,0.03466606140136719
558,iCloudNotificationAgent,jachian,0.0,0.11959075927734375
560,CategoriesService,jachian,0.0,0.031948089599609375
565,logd_helper,root,,
567,CategoriesService,jachian,0.0,0.03752708435058594
569,CategoriesService,jachian,0.0,0.06213188171386719
570,Keychain Circle Notification,jachian,0.0,0.1316070556640625
572,CloudKeychainProxy,jachian,0.0,0.05364418029785156
574,SafeEjectGPUAgent,jachian,0.0,0.0270843505859375
575,SafeEjectGPUService,jachian,0.0,0.04134178161621094
577,CategoriesService,jachian,0.0,0.06222724914550781
579,seserviced,jachian,0.0,0.061893463134765625
580,deleted,jachian,0.0,0.07910728454589844
581,followupd,jachian,0.0,0.0457763671875
584,photolibraryd,jachian,0.0,0.3993988037109375
585,ScopedBookmarkAgent,jachian,0.0,0.03161430358886719
590,UIKitSystem,jachian,0.0,0.13027191162109375
591,AssetCache,_assetcache,,
592,appstoreagent,jachian,0.0,0.20613670349121094
593,AssetCacheTether,root,,
594,geodMachServiceBridge,jachian,0.0,0.05021095275878906
595,coresymbolicatio,root,,
596,cloudd,root,,
597,installcoordinat,_installcoordinationd,,
598,system_installd,root,,
599,com.apple.AppSto,root,,
600,aned,root,,
601,installd,root,,
603,storedownloadd,jachian,0.0,0.07662773132324219
605,promotedcontentd,jachian,0.0,0.0885009765625
607,progressd,jachian,0.0,0.06780624389648438
612,Dropbox Helper (GPU),jachian,0.0,0.10900497436523438
615,Electron,jachian,0.0,1.1513710021972656
617,CVMServer,root,,
618,VTDecoderXPCService,jachian,0.0,0.04591941833496094
619,Dropbox Helper,jachian,0.0,0.0774383544921875
621,crashpad_handler,jachian,0.0,0.021600723266601562
624,VTEncoderXPCService,jachian,0.0,0.04439353942871094
632,chrome_crashpad_handler,jachian,0.0,0.03218650817871094
633,Code Helper (GPU),jachian,0.0,0.6328582763671875
634,Code Helper,jachian,0.0,0.15206336975097656
